location,count,latitude,longitude
"Rompin, Pahang",1,3.8,103.0833
"Lundu, Sarawak",1,1.55,110.3333
"Kuala Kubu Baharu, Selangor",1,3.075,101.525
"Mukah, Sarawak",1,1.55,110.3333
"Kepayan, Sabah",1,5.9788,116.0753
"Kuala Linggi, Melaka",1,2.1896,102.2501
"Bachang, Melaka",1,2.1896,102.2501
"Telukjambe Barat, Jawa Barat",1,-6.9175,107.6191
"West Lampung, Lampung",1,-0.5,104.0
"Lake Fields, Kuala Lumpur",1,3.139,101.6869
"Pandan, Johor",1,1.4927,103.7414
"Mantin, Negeri Sembilan",1,2.725,101.9375
"Puteri Harbour, Johor",1,1.4927,103.7414
"Hulu Langat, Selangor",1,3.075,101.525
"Kerian District, Perak",1,4.5975,101.0901
"Sungai Pelek, Selangor",1,3.075,101.525
"Wangsa Melawati, Kuala Lumpur",1,3.139,101.6869
"Bukit Kayu Hitam, Kedah",1,6.12,100.37
"Sik, Kedah",1,6.12,100.37
"Luwuk, Central Sulawesi",1,-3.0,120.0
"Sumbawa Besar, West Nusa Tenggara",1,-8.5,117.0
"Maja, Banten",1,-6.12,106.1503
"Berau, Kalimantan Timur",1,-1.0,115.0
"Kabupaten Kupang, Nusa Tenggara Timur",1,-8.5,117.0
"North Jayapura, Papua",1,-4.0,137.0
"Taman Danau Desa, Kuala Lumpur",1,3.139,101.6869
"Kuala Langat, Selangor",1,3.075,101.525
"Kampung Baru, Kuala Lumpur",1,3.139,101.6869
"Tapah Road, Perak",1,4.5975,101.0901
"Melaka Raya, Melaka",1,2.1896,102.2501
"Perling, Johor",1,1.4927,103.7414
"Tambun, Perak",1,4.5975,101.0901
"Seri Alam, Johor",1,1.4927,103.7414
"Teluk Cempedak, Pahang",1,3.8,103.0833
"Kuala Nerang, Kedah",1,6.12,100.37
"Gunung Rapat, Perak",1,4.5975,101.0901
"Daro, Sarawak",1,1.55,110.3333
"Kepala Batas, Kedah",1,6.12,100.37
"Kuala Sungai Baru, Melaka",1,2.1896,102.2501
"Taman Pelangi Indah, Johor",1,1.4927,103.7414
"Tioman Island, Pahang",1,3.8,103.0833
"Pahandut, Kalimantan Tengah",1,-1.0,115.0
"Tobelo, Maluku Utara",1,-3.0,128.0
"South Tambun, West Java",1,-6.9175,107.6191
"West Balikpapan, East Kalimantan",1,-8.3405,115.092
"Central Seruyan, Central Kalimantan",1,-1.0,115.0
"West Sorong, West Papua",1,-4.0,137.0
"Setu, Banten",1,-6.12,106.1503
"Tobelo, North Maluku",1,-3.0,128.0
"East Pekalongan, Central Java",1,-7.15,110.1403
"Payakumbuh, West Sumatra",1,-0.5,104.0
"Sibu Division, Sarawak",1,1.55,110.3333
"Gambang, Pahang",1,3.8,103.0833
"Bukit Jambul, Penang",1,5.4141,100.3288
"Taman Sentosa, Johor",1,1.4927,103.7414
"Bandar Damai Perdana, Selangor",1,3.075,101.525
"Pedas, Negeri Sembilan",1,2.725,101.9375
"Nunukan, North Kalimantan",1,-1.0,115.0
"Mayong, Central Java",1,-7.15,110.1403
"Dukuhwaru, Central Java",1,-7.15,110.1403
"Sawahan, East Java",1,-7.5361,112.2384
"Gamping, Yogyakarta Special Region",1,-8.5,117.0
"Sukawati, Bali",1,-8.3405,115.092
"Bangkalan, Jawa Timur",1,-7.5361,112.2384
"Kudus, Jawa Tengah",1,-7.15,110.1403
"Wonokromo, Jawa Timur",1,-7.5361,112.2384
"Takalar, Sulawesi Selatan",1,-3.0,120.0
"Komodo, Nusa Tenggara Timur",1,-8.5,117.0
"Toa Payoh Central, Central Region",1,1.3521,103.8198
"Western Water Catchment, West Region",1,1.3521,103.8198
"Marina East (Marina Parade), Central Region",1,1.3521,103.8198
"Cimahi, Jawa Barat",1,-6.9175,107.6191
"Cikampek, Jawa Barat",1,-6.9175,107.6191
"Woodlands South, North Region",1,1.3521,103.8198
"Pearl's Hill, Central Region",1,1.3521,103.8198
"Clementi North, West Region",1,1.3521,103.8198
"Kuningan Regency, West Java",1,-6.9175,107.6191
"Belu, East Nusa Tenggara",1,-8.5,117.0
"West Pekalongan, Central Java",1,-7.15,110.1403
"Pegasing, Aceh",1,-0.5,104.0
"Bandung Kulon, West Java",1,-6.9175,107.6191
"Sekupang, Riau Islands",1,1.0,104.0
"Panyileukan, West Java",1,-6.9175,107.6191
"Manuhing, Central Kalimantan",1,-1.0,115.0
"Panakkukang, South Sulawesi",1,-3.0,120.0
"Katingan Regency, Central Kalimantan",1,-1.0,115.0
"Sekadau, West Kalimantan",1,-1.0,115.0
"Melawi, West Kalimantan",1,-1.0,115.0
"Tapin, South Kalimantan",1,-1.0,115.0
"Pekalongan, Lampung",1,-0.5,104.0
"Bandar Sribhawono, Lampung",1,-0.5,104.0
"Tanjung Selor, North Kalimantan",1,-1.0,115.0
"Leles, West Java",1,-6.9175,107.6191
"Gubeng, East Java",1,-7.5361,112.2384
"Bungo, Jambi",1,-0.5,104.0
"Wasile, North Maluku",1,-3.0,128.0
"Mamuju, West Sulawesi",1,-3.0,120.0
"Sabang, Aceh",1,-0.5,104.0
"Bojong Gede, West Java",1,-6.9175,107.6191
"Sikka, East Nusa Tenggara",1,-8.5,117.0
"Dawe, Central Java",1,-7.15,110.1403
"Guntur, Central Java",1,-7.15,110.1403
"Kartoharjo, East Java",1,-7.5361,112.2384
"Margaret Drive, Central Region",1,1.3521,103.8198
"Pasir Ris West, East Region",1,1.3521,103.8198
"Banjar, Bali",1,-8.3405,115.092
"Cikole, West Java",1,-6.9175,107.6191
"North Lampung, Lampung",1,-0.5,104.0
"Plumbon, West Java",1,-6.9175,107.6191
"Pabuaran, West Java",1,-6.9175,107.6191
"Kotagede, Yogyakarta Special Region",1,-8.5,117.0
"Pangenan, West Java",1,-6.9175,107.6191
"Tomohon, North Sulawesi",1,-3.0,120.0
"Bumiayu, Central Java",1,-7.15,110.1403
"Angsana, South Kalimantan",1,-1.0,115.0
"Jebres, Central Java",1,-7.15,110.1403
"North Ternate, North Maluku",1,-3.0,128.0
"Sayung, Central Java",1,-7.15,110.1403
"Binangun, East Java",1,-7.5361,112.2384
"Wringin Anom, East Java",1,-7.5361,112.2384
"North Rantau, North Sumatra",1,-0.5,104.0
"Saguling, West Java",1,-6.9175,107.6191
"North Tambun, West Java",1,-6.9175,107.6191
"Laweyan, Central Java",1,-7.15,110.1403
"Sokaraja, Central Java",1,-7.15,110.1403
"Sidayu, East Java",1,-7.5361,112.2384
"Raja Ampat, West Papua",1,-4.0,137.0
"Bandung Wetan, West Java",1,-6.9175,107.6191
"Cibitung, Banten",1,-6.12,106.1503
"Kedungbanteng, Central Java",1,-7.15,110.1403
"Kroya, Central Java",1,-7.15,110.1403
"Kampar Kiri, Riau",1,,
"West Obi, North Maluku",1,-3.0,128.0
"Prambanan, Central Java",1,-7.15,110.1403
"Kemuning, South Sumatra",1,-0.5,104.0
"Tapos, West Java",1,-6.9175,107.6191
"Buahbatu, West Java",1,-6.9175,107.6191
"Meranti Islands, Riau",1,,
"Sukorejo, East Java",1,-7.5361,112.2384
"Pati Regency, Central Java",1,-7.15,110.1403
"Pringsurat, Central Java",1,-7.15,110.1403
"Kembang Janggut, East Kalimantan",1,-1.0,115.0
"Gayungan, East Java",1,-7.5361,112.2384
"Makasar, Jakarta",1,-6.2088,106.8456
"West Kisaran, North Sumatra",1,-0.5,104.0
"Sukolilo, East Java",1,-7.5361,112.2384
"Ciruas, Banten",1,-6.12,106.1503
"Cidahu, West Java",1,-6.9175,107.6191
"Pangandaran Regency, West Java",1,-6.9175,107.6191
"Parung Panjang, West Java",1,-6.9175,107.6191
"Blang Pidie, Aceh",1,-0.5,104.0
"Kaliwungu, Central Java",1,-7.15,110.1403
"Meulaboh, Aceh",1,-0.5,104.0
"Gong Badak, Terengganu",1,5.3303,103.1408
"Bukit Tambun, Penang",1,5.4141,100.3288
"Kuala Krai, Kelantan",1,6.1236,102.2431
"Desa Pandan, Kuala Lumpur",1,3.139,101.6869
"Serian, Sarawak",1,1.55,110.3333
"Kejayan, East Java",1,-7.5361,112.2384
"Pasar Muara Bungo, Jambi",1,-0.5,104.0
"Panongan, Banten",1,-6.12,106.1503
"North Seribu Islands, Jakarta",1,-6.2088,106.8456
"Pringapus, Central Java",1,-7.15,110.1403
"Jekan Raya, Central Kalimantan",1,-1.0,115.0
"Ampenan, West Nusa Tenggara",1,-8.5,117.0
"Asem Rowo, East Java",1,-7.5361,112.2384
"Klari, West Java",1,-6.9175,107.6191
"East Flores, East Nusa Tenggara",1,-8.5,117.0
"Bulungan, North Kalimantan",1,-1.0,115.0
"Lubuk Pakam, North Sumatra",1,-0.5,104.0
"Ambarawa, Central Java",1,-7.15,110.1403
"Sandaran, East Kalimantan",1,-1.0,115.0
"Gabus, Central Java",1,-7.15,110.1403
"Betung, South Sumatra",1,-0.5,104.0
"Kebon Sari, East Java",1,-7.5361,112.2384
"Pangandaran, West Java",1,-6.9175,107.6191
"Kupang Regency, East Nusa Tenggara",1,-8.5,117.0
"Singkep, Riau Islands",1,1.0,104.0
"Bondowoso, East Java",1,-7.5361,112.2384
"Larantuka, East Nusa Tenggara",1,-8.5,117.0
"Bojongmanik, Banten",1,-6.12,106.1503
"Sukamara, Central Kalimantan",1,-1.0,115.0
"Bintuni, West Papua",1,-4.0,137.0
"Sangkulirang, East Kalimantan",1,-1.0,115.0
"Port Dickson District, Negeri Sembilan",1,2.725,101.9375
"Bandar Indahpura, Johor",1,1.4927,103.7414
"Trong, Perak",1,4.5975,101.0901
"Paal Dua, North Sulawesi",1,-3.0,120.0
"Kedaton, Lampung",1,-0.5,104.0
"Bandar Seri Putra, Selangor",1,3.075,101.525
"Kuala Terengganu District, Terengganu",1,5.3303,103.1408
"Purbalingga Regency, Central Java",1,-7.15,110.1403
"Sambikerep, East Java",1,-7.5361,112.2384
"Yapen Islands, Papua",1,-4.0,137.0
"Bukit Tunku, Kuala Lumpur",1,3.139,101.6869
"South Lubuk Linggau I, South Sumatra",1,-0.5,104.0
"Tanjong Rhu, Central Region",1,1.3521,103.8198
"Abiansemal, Bali",1,-8.3405,115.092
"Medan Tuanku, Kuala Lumpur",1,3.139,101.6869
"Temerloh District, Pahang",1,3.8,103.0833
"Kadok, Kelantan",1,6.1236,102.2431
"Batu Kawa, Sarawak",1,1.55,110.3333
"South Pesisir, West Sumatra",1,-0.5,104.0
"Batang Padang District, Perak",1,4.5975,101.0901
"Lakarsantri, East Java",1,-7.5361,112.2384
"Bandung Kidul, West Java",1,-6.9175,107.6191
"Kauman, East Java",1,-7.5361,112.2384
"Rajeg, Banten",1,-6.12,106.1503
"Margaasih, West Java",1,-6.9175,107.6191
"Maba, North Maluku",1,-3.0,128.0
"Holland Road, Central Region",1,1.3521,103.8198
"Sengkang Town Centre, North-East Region",1,1.3521,103.8198
"Kampong Glam, Central Region",1,1.3521,103.8198
"Western Islands, West Region",1,1.3521,103.8198
"Hillview, West Region",1,1.3521,103.8198
"Changi Bay, East Region",1,1.3521,103.8198
"Yishun East, North Region",1,1.3521,103.8198
"Sintang Regency, West Kalimantan",1,-1.0,115.0
"Pakem, Yogyakarta Special Region",1,-8.5,117.0
"Bandung, East Java",1,-7.5361,112.2384
"Tengaran, Central Java",1,-7.15,110.1403
"Samosir, North Sumatra",1,-0.5,104.0
"Jatibarang, West Java",1,-6.9175,107.6191
"Ciater, West Java",1,-6.9175,107.6191
"Mataram District, West Nusa Tenggara",1,-8.5,117.0
"Dairi, North Sumatra",1,-0.5,104.0
"Temanggung Regency, Central Java",1,-7.15,110.1403
"Tarumajaya, West Java",1,-6.9175,107.6191
"Klampis, East Java",1,-7.5361,112.2384
"South Bogor, West Java",1,-6.9175,107.6191
"East Prabumulih, South Sumatra",1,-0.5,104.0
"Banggai, Central Sulawesi",1,-3.0,120.0
"Danga Bay, Johor",1,1.4927,103.7414
